MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,ZeroCrossings_1,SpectralContrast_1,SpectralContrast_2,SpectralContrast_3,SpectralContrast_4,SpectralContrast_5,SpectralContrast_6,SpectralContrast_7
-531.8346,51.884537,41.85964,31.338957,23.44439,18.287043,15.059948,13.000819,11.192676,9.3656,8.547592,9.450916,10.68964,10.058819,7.1373014,3.2056775,-0.8568424,-4.8996835,-8.077169,-8.991392,33.14678,33.14678,33.14678,33.14678,33.14678,-5.118956,-3.8159652,-2.5658786,-1.5697885,-0.92947847,-0.6906224,-0.79697007,-1.1481752,-1.6886209,-2.3249493,-2.7996802,-2.7996802,-2.7996802,-2.7996802,-2.7996802,0.24071494,0.51308537,1.0,0.8786112,0.35986632,0.12144612,0.16473481,0.23205803,0.3406888,0.36224484,0.35542986,0.19400255,0.005859375,15.312107065740927,13.469074127970988,15.177014892876814,14.515061056264358,13.627654616601845,14.269419651467107,12.111892354068605
-532.5719,52.311584,45.27792,36.85816,29.43526,23.88504,20.010046,17.31937,15.351736,13.7970085,12.651635,12.007227,11.409195,9.688303,5.907422,0.5174285,-4.761612,-8.325005,-9.76302,-9.627529,33.72015,33.72015,33.72015,33.72015,33.72015,-4.8723273,-3.9070218,-2.9098163,-2.0996149,-1.5985649,-1.4829761,-1.7500093,-2.2683246,-2.8201528,-3.2027967,-3.2791886,-3.2791886,-3.2791886,-3.2791886,-3.2791886,0.1600479,0.43767446,1.0,0.9215594,0.38803232,0.10601969,0.041905273,0.0462698,0.08327373,0.084229395,0.08032701,0.06805452,0.00927734375,24.679455246444018,17.380035521400536,12.561918493737522,12.250980658482245,15.698381829209723,12.373918095718189,16.003870701858837
-536.38635,47.082977,41.327404,36.29453,33.343433,30.36403,25.065735,18.217075,12.826408,10.508745,9.714025,7.8874893,4.58407,1.577554,0.116432145,-0.8503033,-3.1380033,-6.640691,-9.182644,-9.21059,34.52999,34.52999,34.52999,34.52999,34.52999,-4.603875,-4.283198,-3.9411047,-3.6813138,-3.3393743,-2.8136952,-2.289863,-2.0573318,-2.1516175,-2.2840536,-2.1563897,-2.1563897,-2.1563897,-2.1563897,-2.1563897,0.12912366,0.42495036,1.0,0.9587556,0.44856974,0.10908129,0.015915224,0.010956811,0.022771826,0.022274101,0.019148074,0.018145958,0.0341796875,24.009801901623042,14.840328461331204,12.276268822290497,10.356568412725721,13.799594636208255,16.66850553102565,52.46789983170413
-507.04623,57.077118,19.159714,17.740711,28.85778,45.27346,27.33297,-8.634135,-6.5697017,10.017992,17.33083,12.4112015,-1.6491592,-2.730452,1.966811,5.451273,2.8831358,-11.422094,-12.097398,-11.599337,30.81086,30.81086,30.81086,30.81086,30.81086,-5.328321,-2.5874376,-2.671875,-3.6994448,-3.5495138,-1.1919882,0.62457156,-0.36264163,-2.3234553,-2.866108,-2.3975637,-2.3975637,-2.3975637,-2.3975637,-2.3975637,0.2399792,0.5889126,1.0,0.6973172,0.3891918,0.13192868,0.032045268,0.030000297,0.025841353,0.014850268,0.011522871,0.043922924,0.06689453125,18.62528901049865,16.39247459512658,20.043826746802207,15.891467554186779,17.60088882822742,23.73018988709289,53.419281780454135
-489.47592,54.253555,-5.4729567,6.5505066,26.46774,49.726677,24.678288,-26.776691,-16.177223,10.80801,17.609043,12.444195,-4.2628946,-3.9253645,1.9739149,2.5508535,1.4701037,-9.072953,-5.9867783,-10.292217,29.22638,29.22638,29.22638,29.22638,29.22638,-4.572314,-0.9448797,-2.0282364,-3.5220628,-3.1533945,0.053355534,2.0070817,-0.030366298,-2.3581758,-2.3498752,-1.7819381,-1.7819381,-1.7819381,-1.7819381,-1.7819381,0.2690941,0.59873426,0.9470847,0.8111562,1.0,0.6093614,0.40334332,0.6729255,0.2538009,0.081547305,0.044079207,0.105850115,0.1015625,15.8959503628268,12.515446493125372,14.065746441777899,20.452580645274026,22.823363959505965,22.97181673009075,54.733867762958866
-496.76602,42.86758,-19.715883,-0.12036127,29.243366,45.04921,19.231436,-22.746534,-11.740896,13.035795,15.43049,9.444056,-1.5525284,-6.0206213,-2.7140684,5.6001477,4.2058325,-8.897779,-2.9056535,-3.0716066,31.105373,31.105373,31.105373,31.105373,31.105373,-2.5111077,0.5048282,-1.6363354,-3.3636434,-2.9179776,-0.34698802,1.422856,-0.17123035,-2.1709604,-1.7538764,-0.88260734,-0.88260734,-0.88260734,-0.88260734,-0.88260734,0.08593921,0.2693501,0.62265956,0.66034734,1.0,0.68116325,0.52471584,0.82454336,0.33641297,0.08714395,0.044114567,0.043844152,0.1328125,11.811281435802208,19.81231550699171,14.888087538995702,21.822969880774714,24.078957136625398,21.948240260542633,55.427450587797225
-513.76544,40.98526,-9.2923765,-0.9628386,26.1226,29.13831,7.296661,-11.4409485,-3.5857406,11.196281,13.470315,10.870369,4.402794,-5.681153,-2.8245602,10.912912,6.711671,-7.068243,-1.7255292,2.9303317,32.445324,32.445324,32.445324,32.445324,32.445324,-2.363636,0.45886976,-0.6231747,-1.7783085,-1.4380127,-0.12590568,0.81460994,-0.14669555,-1.674605,-1.5564566,-0.72305113,-0.72305113,-0.72305113,-0.72305113,-0.72305113,0.21219304,0.32518902,0.5435981,0.39116713,0.717345,1.0,0.66104686,0.37581652,0.3012676,0.1561575,0.13698599,0.15144017,0.14111328125,22.628886959045193,9.149234845508154,8.080532242213541,17.793019150433725,18.294646720176736,21.649058903027086,55.2940136833922
-523.4314,39.09429,-1.285533,2.4936826,25.172932,21.342892,1.9055712,-2.470295,4.59409,6.327191,5.842494,7.978629,3.0360832,-7.059805,-4.7360067,6.2258224,5.110383,-4.6428876,-5.2029057,1.1531165,33.543995,33.543995,33.543995,33.543995,33.543995,-2.4437475,-0.41597062,-1.0565735,-1.8661475,-1.4678833,-0.69665694,-0.37977037,-0.5739061,-0.95590585,-1.0768653,-0.6223132,-0.6223132,-0.6223132,-0.6223132,-0.6223132,0.6323352,0.4499558,0.3014218,0.6187543,1.0,0.6755972,0.4558208,0.22933613,0.32183358,0.3708709,0.32401624,0.4755602,0.13818359375,12.400318415724081,10.725323887664072,8.826902249392134,18.149946628736043,20.176839613287008,17.54083491973204,55.146747070223014
-536.53485,30.618546,5.259679,9.746908,23.686039,15.689072,-0.80139095,-1.7100058,4.2032623,2.082857,-0.18139437,3.5995107,2.9770415,-3.1304624,-1.9360645,5.573019,6.03201,-0.059845865,-1.8122984,0.994483,34.32978,34.32978,34.32978,34.32978,34.32978,-2.7452211,-1.6853513,-1.9733278,-1.901197,-0.9618077,-0.1622642,0.057431933,0.1257694,0.15172188,-0.044804454,-0.17798038,-0.17798038,-0.17798038,-0.17798038,-0.17798038,1.0,0.6271254,0.45371607,0.5507713,0.7268349,0.55023575,0.47740293,0.37725815,0.5819224,0.7438559,0.5755778,0.78366363,0.1416015625,11.311802861488333,10.885298860069843,10.16109232561389,14.152853516770868,17.221553724106656,18.250125014977804,54.76991303552196
-546.34674,27.599958,14.085654,10.214441,13.764458,12.253347,3.885765,-1.9084167,-0.3295874,4.021247,6.1733546,5.745092,3.9377027,1.7944968,0.69334805,0.94040877,1.1998767,0.92897046,0.97365963,1.2298694,34.61971,34.61971,34.61971,34.61971,34.61971,-2.8614163,-1.5429772,-1.022171,-0.80544907,-0.33116052,0.14329162,0.1295826,-0.30058777,-0.6690543,-0.69294804,-0.4696257,-0.4696257,-0.4696257,-0.4696257,-0.4696257,0.8113361,0.8006859,0.9121948,0.8809816,0.797366,1.0,0.7779538,0.6613599,0.837508,0.63034797,0.60745883,0.7709077,0.13427734375,8.865018601821625,9.58320471501813,12.111763289348495,11.023070278380574,17.122542820301142,17.228290746409304,54.70119852574375
